source_file,title,disposition,detail,destination,archived_to
nnanhuang SegAnyMo f5cae3c428e34988ba7522488f8d459b.md,nnanhuang/SegAnyMo,ingested-entity-card,,Knowledge/General-AI-VFX/nnanhuang-seganymo.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/nnanhuang SegAnyMo f5cae3c428e34988ba7522488f8d459b.md
nv-tlabs Gamma-World 371b4695a24d8158ab01f1baa881ce02.md,nv-tlabs/Gamma-World,ingested-entity-card,,Knowledge/AI-3D/nv-tlabs-gamma-world.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/nv-tlabs Gamma-World 371b4695a24d8158ab01f1baa881ce02.md
nv-tlabs PartField 9806217770084994bbac9d0bbde79309.md,nv-tlabs/PartField,ingested-entity-card,,Knowledge/AI-3D/nv-tlabs-partfield.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/nv-tlabs PartField 9806217770084994bbac9d0bbde79309.md
nv-tlabs PiD 371b4695a24d813d8a4de868809e326b.md,nv-tlabs/PiD,ingested-entity-card,,Knowledge/AI-Image-Midjourney/nv-tlabs-pid.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/nv-tlabs PiD 371b4695a24d813d8a4de868809e326b.md
oneThousand1000 AnimPortrait3D 3dd2c6771895481b8d84d2d74b83d1ee.md,oneThousand1000/AnimPortrait3D,ingested-entity-card,,Knowledge/AI-3D/onethousand1000-animportrait3d.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/oneThousand1000 AnimPortrait3D 3dd2c6771895481b8d84d2d74b83d1ee.md
physx-omni PhysX-Omni 371b4695a24d819d98d1f528498dd802.md,physx-omni/PhysX-Omni,ingested-entity-card,,Knowledge/AI-3D/physx-omni-physx-omni.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/physx-omni PhysX-Omni 371b4695a24d819d98d1f528498dd802.md
rajabi2001 sega 371b4695a24d81da86a3c7dc028ec138.md,rajabi2001/sega,ingested-entity-card,,Knowledge/AI-Image-Midjourney/rajabi2001-sega.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/rajabi2001 sega 371b4695a24d81da86a3c7dc028ec138.md
ryunuri Elevate3D 42bb51edca6c450385cbd9d0877a98c8.md,ryunuri/Elevate3D,ingested-entity-card,,Knowledge/AI-3D/ryunuri-elevate3d.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/ryunuri Elevate3D 42bb51edca6c450385cbd9d0877a98c8.md
shiyi-zh0408 FlexiAct 2e04ddc39e17442f909aa8ce1dbc59bc.md,shiyi-zh0408/FlexiAct,ingested-entity-card,,Knowledge/AI-Video/shiyi-zh0408-flexiact.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/shiyi-zh0408 FlexiAct 2e04ddc39e17442f909aa8ce1dbc59bc.md
showlab Kiwi-Edit 35bb4695a24d81eaab3af7b03a815e43.md,showlab/Kiwi-Edit,ingested-entity-card,,Knowledge/AI-Image-Midjourney/showlab-kiwi-edit.md,raw/notion-dump-ingest-archive/2026-07-16/Batch-05/showlab Kiwi-Edit 35bb4695a24d81eaab3af7b03a815e43.md
